seed,previous_layer,layer,transition,accuracy,delta_euclidean_knn_loss,delta_geodesic_knn_loss,delta_distance_loss,delta_arc_r2_gain,delta_first_pc_gain,previous_euclidean_knn,current_euclidean_knn,previous_geodesic_knn,current_geodesic_knn,previous_distance_corr,current_distance_corr,previous_arc_r2,current_arc_r2,scheme_label
4,input,hidden_1,input -> hidden_1,0.885,0.15516666666666667,-0.021433333333333415,0.09212245948363862,-5.604730013986092e-06,0.10451793670654297,1.0,0.8448333333333333,0.5025666666666666,0.524,1.0,0.9078775405163614,0.9988221684537607,0.9988165637237467,observed_y
4,hidden_1,hidden_2,hidden_1 -> hidden_2,0.885,0.41669999999999996,0.19353333333333333,0.22747034893775997,-0.0006138258797160345,0.14396512508392334,0.8448333333333333,0.42813333333333337,0.524,0.3304666666666667,0.9078775405163614,0.6804071915786014,0.9988165637237467,0.9982027378440307,observed_y
4,hidden_2,hidden_3,hidden_2 -> hidden_3,0.885,0.17393333333333338,0.1389,0.11096470459997587,-0.2927782466506933,-0.2349565625190735,0.42813333333333337,0.2542,0.3304666666666667,0.1915666666666667,0.6804071915786014,0.5694424869786255,0.9982027378440307,0.7054244911933374,observed_y
4,hidden_3,logits,hidden_3 -> logits,0.885,0.03526666666666667,0.024833333333333346,0.19994830560604515,-0.1391657634895751,0.17241179943084717,0.2542,0.2189333333333333,0.1915666666666667,0.16673333333333334,0.5694424869786255,0.3694941813725804,0.7054244911933374,0.5662587277037623,observed_y
5,input,hidden_1,input -> hidden_1,0.8983333333333333,0.09119999999999995,-0.014033333333333398,0.025611751937476335,5.8462867924102824e-05,-0.02233356237411499,1.0,0.9088,0.4928666666666666,0.5069,1.0,0.9743882480625237,0.9988845609795299,0.998943023847454,observed_y
5,hidden_1,hidden_2,hidden_1 -> hidden_2,0.8983333333333333,0.39780000000000004,0.12990000000000002,0.2702340165291961,-0.00016901563731297475,0.3342854380607605,0.9088,0.511,0.5069,0.377,0.9743882480625237,0.7041542315333276,0.998943023847454,0.9987740082101411,observed_y
5,hidden_2,hidden_3,hidden_2 -> hidden_3,0.8983333333333333,0.20566666666666666,0.15219999999999997,0.0230744358852204,-0.23054341691302493,-0.07769006490707397,0.511,0.30533333333333335,0.377,0.22480000000000003,0.7041542315333276,0.6810797956481072,0.9987740082101411,0.7682305912971161,observed_y
5,hidden_3,logits,hidden_3 -> logits,0.8983333333333333,0.038966666666666705,0.029066666666666685,0.00305241644573373,-0.3206486343079069,-0.007461607456207275,0.30533333333333335,0.26636666666666664,0.22480000000000003,0.19573333333333334,0.6810797956481072,0.6780273792023734,0.7682305912971161,0.4475819569892092,observed_y
6,input,hidden_1,input -> hidden_1,0.8823333333333333,0.1147999999999999,-0.015333333333333365,0.0537427913513886,1.3369409083141548e-06,0.07323622703552246,1.0,0.8852000000000001,0.4981333333333334,0.5134666666666667,1.0,0.9462572086486114,0.9988391626704396,0.9988404996113479,observed_y
6,hidden_1,hidden_2,hidden_1 -> hidden_2,0.8823333333333333,0.4026000000000001,0.15226666666666672,0.24139657241525037,-0.0004417028150920377,0.32251352071762085,0.8852000000000001,0.4826,0.5134666666666667,0.3612,0.9462572086486114,0.704860636233361,0.9988404996113479,0.9983987967962559,observed_y
6,hidden_2,hidden_3,hidden_2 -> hidden_3,0.8823333333333333,0.1676333333333333,0.12416666666666668,0.011084114400741196,-0.07680490092868653,-0.03402155637741089,0.4826,0.3149666666666667,0.3612,0.23703333333333335,0.704860636233361,0.6937765218326198,0.9983987967962559,0.9215938958675693,observed_y
6,hidden_3,logits,hidden_3 -> logits,0.8823333333333333,0.03583333333333333,0.02896666666666667,-0.004627132279060087,-0.06262428378681417,0.02804875373840332,0.3149666666666667,0.27913333333333334,0.23703333333333335,0.20806666666666668,0.6937765218326198,0.6984036541116799,0.9215938958675693,0.8589696120807552,observed_y
7,input,hidden_1,input -> hidden_1,0.8373333333333334,0.1354333333333333,-0.019433333333333302,0.07079762769359998,-1.0668553426129712e-05,0.08578705787658691,1.0,0.8645666666666667,0.4988,0.5182333333333333,1.0,0.9292023723064,0.9987731837459732,0.9987625151925471,observed_y
7,hidden_1,hidden_2,hidden_1 -> hidden_2,0.8373333333333334,0.3769,0.1488666666666667,0.22617452106280678,-0.0003533174241583392,0.2588012218475342,0.8645666666666667,0.4876666666666667,0.5182333333333333,0.3693666666666666,0.9292023723064,0.7030278512435932,0.9987625151925471,0.9984091977683888,observed_y
7,hidden_2,hidden_3,hidden_2 -> hidden_3,0.8373333333333334,0.2019333333333334,0.15416666666666662,0.020290119495601888,-0.08124786052352817,-0.09295493364334106,0.4876666666666667,0.2857333333333333,0.3693666666666666,0.2152,0.7030278512435932,0.6827377317479913,0.9984091977683888,0.9171613372448606,observed_y
7,hidden_3,logits,hidden_3 -> logits,0.8373333333333334,0.03469999999999995,0.026600000000000013,0.00038578326172855615,-0.4438407883713129,0.014322817325592041,0.2857333333333333,0.25103333333333333,0.2152,0.1886,0.6827377317479913,0.6823519484862628,0.9171613372448606,0.4733205488735477,observed_y
8,input,hidden_1,input -> hidden_1,0.8576666666666667,0.12929999999999986,-0.019766666666666655,0.05666087922328411,4.146707886065748e-05,0.060401201248168945,1.0,0.8707000000000001,0.4913,0.5110666666666667,1.0,0.9433391207767159,0.9986898536838962,0.9987313207627568,observed_y
8,hidden_1,hidden_2,hidden_1 -> hidden_2,0.8576666666666667,0.4168000000000002,0.1648,0.2403087872226416,-0.0011594983377550827,0.28160518407821655,0.8707000000000001,0.4538999999999999,0.5110666666666667,0.34626666666666667,0.9433391207767159,0.7030303335540743,0.9987313207627568,0.9975718224250018,observed_y
8,hidden_2,hidden_3,hidden_2 -> hidden_3,0.8576666666666667,0.1833666666666665,0.14286666666666664,0.02617517202945474,-0.13879141438925535,-0.11649495363235474,0.4538999999999999,0.2705333333333334,0.34626666666666667,0.20340000000000003,0.7030303335540743,0.6768551615246196,0.9975718224250018,0.8587804080357464,observed_y
8,hidden_3,logits,hidden_3 -> logits,0.8576666666666667,0.019966666666666744,0.016400000000000026,0.010025617444864965,-0.2553704095795539,-0.040843069553375244,0.2705333333333334,0.25056666666666666,0.20340000000000003,0.187,0.6768551615246196,0.6668295440797546,0.8587804080357464,0.6034099984561925,observed_y
9,input,hidden_1,input -> hidden_1,0.836,0.13663333333333316,-0.021166666666666722,0.06281606409479756,1.8060830834221164e-05,0.08376830816268921,1.0,0.8633666666666668,0.49866666666666665,0.5198333333333334,1.0,0.9371839359052024,0.9986532598941781,0.9986713207250123,observed_y
9,hidden_1,hidden_2,hidden_1 -> hidden_2,0.836,0.3925000000000002,0.15289999999999998,0.2328391029755177,-0.0006406867277384265,0.29161161184310913,0.8633666666666668,0.47086666666666666,0.5198333333333334,0.3669333333333334,0.9371839359052024,0.7043448329296847,0.9986713207250123,0.9980306339972739,observed_y
9,hidden_2,hidden_3,hidden_2 -> hidden_3,0.836,0.1569333333333333,0.1263333333333334,0.016902612192776334,-0.13523069165305956,-0.08927905559539795,0.47086666666666666,0.31393333333333334,0.3669333333333334,0.24059999999999998,0.7043448329296847,0.6874422207369084,0.9980306339972739,0.8627999423442143,observed_y
9,hidden_3,logits,hidden_3 -> logits,0.836,0.006900000000000017,0.006366666666666632,-0.0006542168032188656,-0.06993743926741303,0.01491159200668335,0.31393333333333334,0.3070333333333333,0.24059999999999998,0.23423333333333335,0.6874422207369084,0.6880964375401273,0.8627999423442143,0.7928625030768013,observed_y
10,input,hidden_1,input -> hidden_1,0.8533333333333334,0.1191333333333332,-0.018533333333333346,0.04899280129697592,-1.0660414543228747e-05,0.04188293218612671,1.0,0.8808666666666668,0.49069999999999997,0.5092333333333333,1.0,0.9510071987030241,0.998835409970175,0.9988247495556317,observed_y
