seed,previous_layer,layer,transition,accuracy,delta_euclidean_knn_loss,delta_geodesic_knn_loss,delta_distance_loss,delta_arc_r2_gain,delta_first_pc_gain,previous_euclidean_knn,current_euclidean_knn,previous_geodesic_knn,current_geodesic_knn,previous_distance_corr,current_distance_corr,previous_arc_r2,current_arc_r2
"(3,)",hidden_2,hidden_3,hidden_2 -> hidden_3,0.9743333333333334,0.013800000000000034,0.0012333333333333085,0.006886018033750108,0.3473923651317864,-0.07323712110519409,0.9599333333333334,0.9461333333333334,0.8373333333333334,0.8361000000000001,0.8901898233729476,0.8833038053391975,0.6165219570697396,0.963914322201526
"(3,)",hidden_3,logits,hidden_3 -> logits,0.9743333333333334,-0.0010666666666667712,0.0003333333333332966,0.00012064807735823191,-0.014991049104832288,0.03205078840255737,0.9461333333333334,0.9472000000000002,0.8361000000000001,0.8357666666666668,0.8833038053391975,0.8831831572618393,0.963914322201526,0.9489232730966937
"(4,)",input,hidden_1,input -> hidden_1,0.961,0.06443333333333323,0.013366666666666416,0.1189008525644405,0.37993582614128096,0.06866282224655151,1.0,0.9355666666666668,0.8542999999999998,0.8409333333333334,1.0,0.8810991474355595,0.11964889240978771,0.4995847185510687
"(4,)",hidden_1,hidden_2,hidden_1 -> hidden_2,0.961,0.015633333333333388,0.007133333333333214,0.06987638035248478,0.40067351393290396,0.013972580432891846,0.9355666666666668,0.9199333333333334,0.8409333333333334,0.8338000000000002,0.8810991474355595,0.8112227670830747,0.4995847185510687,0.9002582324839726
"(4,)",hidden_2,hidden_3,hidden_2 -> hidden_3,0.961,0.00646666666666651,0.003366666666666851,0.09040857562783855,0.026050403484512485,-0.0004712343215942383,0.9199333333333334,0.9134666666666669,0.8338000000000002,0.8304333333333334,0.8112227670830747,0.7208141914552362,0.9002582324839726,0.9263086359684851
"(4,)",hidden_3,logits,hidden_3 -> logits,0.961,0.024666666666666726,0.01653333333333329,0.1375209889512511,-0.05332194322500583,0.12884008884429932,0.9134666666666669,0.8888000000000001,0.8304333333333334,0.8139000000000001,0.7208141914552362,0.5832932025039851,0.9263086359684851,0.8729866927434793
"(5,)",input,hidden_1,input -> hidden_1,0.9633333333333334,0.03466666666666662,0.005800000000000027,0.05456958999756867,0.5488505706962971,0.058802247047424316,1.0,0.9653333333333334,0.8454333333333334,0.8396333333333333,1.0,0.9454304100024313,0.1412441808043946,0.6900947515006917
"(5,)",hidden_1,hidden_2,hidden_1 -> hidden_2,0.9633333333333334,0.01093333333333324,0.0016333333333331534,0.018441544530385934,0.2520295874816648,-0.0779956579208374,0.9653333333333334,0.9544000000000001,0.8396333333333333,0.8380000000000002,0.9454304100024313,0.9269888654720454,0.6900947515006917,0.9421243389823565
"(5,)",hidden_2,hidden_3,hidden_2 -> hidden_3,0.9633333333333334,0.011833333333333362,0.005433333333333623,0.023737528384731088,-0.02532592826800162,-0.062397003173828125,0.9544000000000001,0.9425666666666668,0.8380000000000002,0.8325666666666666,0.9269888654720454,0.9032513370873143,0.9421243389823565,0.9167984107143549
"(5,)",hidden_3,logits,hidden_3 -> logits,0.9633333333333334,0.008400000000000074,0.0019999999999997797,0.02220739946942485,-0.016935579399911083,0.07171040773391724,0.9425666666666668,0.9341666666666667,0.8325666666666666,0.8305666666666668,0.9032513370873143,0.8810439376178895,0.9167984107143549,0.8998628313144438
"(6,)",input,hidden_1,input -> hidden_1,0.9576666666666667,0.034466666666666645,0.005900000000000016,0.11605906610193295,0.32486213584239,-0.008324921131134033,1.0,0.9655333333333334,0.8550666666666666,0.8491666666666666,1.0,0.883940933898067,0.1477789195969702,0.4726410554393602
"(6,)",hidden_1,hidden_2,hidden_1 -> hidden_2,0.9576666666666667,0.011900000000000022,0.0026333333333331543,0.051586745483189755,0.14871000793561384,-0.044733524322509766,0.9655333333333334,0.9536333333333333,0.8491666666666666,0.8465333333333335,0.883940933898067,0.8323541884148773,0.4726410554393602,0.621351063374974
"(6,)",hidden_2,hidden_3,hidden_2 -> hidden_3,0.9576666666666667,0.006000000000000005,0.0022333333333333094,0.021252324403507106,0.10927861529669392,-0.010634541511535645,0.9536333333333333,0.9476333333333333,0.8465333333333335,0.8443000000000002,0.8323541884148773,0.8111018640113702,0.621351063374974,0.730629678671668
"(6,)",hidden_3,logits,hidden_3 -> logits,0.9576666666666667,0.001866666666666572,0.00023333333333341866,0.008637361680559286,-0.06542697165710354,0.039031267166137695,0.9476333333333333,0.9457666666666668,0.8443000000000002,0.8440666666666667,0.8111018640113702,0.8024645023308109,0.730629678671668,0.6652027070145644
"(7,)",input,hidden_1,input -> hidden_1,0.96,0.0232,0.0020000000000000018,0.040492090291571525,0.7314745854117735,-0.024543702602386475,1.0,0.9768,0.8577666666666667,0.8557666666666667,1.0,0.9595079097084285,0.1363831327845858,0.8678577181963593
"(7,)",hidden_1,hidden_2,hidden_1 -> hidden_2,0.96,0.03406666666666658,0.00993333333333335,0.10893337470067033,0.0578094390183187,0.09456998109817505,0.9768,0.9427333333333334,0.8557666666666667,0.8458333333333333,0.9595079097084285,0.8505745350077581,0.8678577181963593,0.925667157214678
"(7,)",hidden_2,hidden_3,hidden_2 -> hidden_3,0.96,0.010900000000000132,0.004266666666666752,0.04515245443074967,0.03923171076089205,0.0686347484588623,0.9427333333333334,0.9318333333333333,0.8458333333333333,0.8415666666666666,0.8505745350077581,0.8054220805770085,0.925667157214678,0.96489886797557
"(7,)",hidden_3,logits,hidden_3 -> logits,0.96,-0.004133333333333544,-0.002766666666666806,-0.023900497340640592,-0.013666115620955877,-0.006959319114685059,0.9318333333333333,0.9359666666666668,0.8415666666666666,0.8443333333333334,0.8054220805770085,0.8293225779176491,0.96489886797557,0.9512327523546141
"(8,)",input,hidden_1,input -> hidden_1,0.963,0.03763333333333341,0.006000000000000005,0.06958278058009382,0.6189429805958501,0.10077518224716187,1.0,0.9623666666666666,0.8645333333333335,0.8585333333333335,0.9999999999999999,0.9304172194199061,0.1272429798523812,0.7461859604482313
"(8,)",hidden_1,hidden_2,hidden_1 -> hidden_2,0.963,0.005800000000000027,0.0028000000000000247,0.029034648177282074,0.07700928766515458,0.021844923496246338,0.9623666666666666,0.9565666666666666,0.8585333333333335,0.8557333333333335,0.9304172194199061,0.901382571242624,0.7461859604482313,0.8231952481133858
