layer,euclidean_knn,geodesic_knn_preservation,distance_correlation,first_pc_variance,first_2pc_variance,components_95,arc_r2,seed,accuracy,hidden_dims,parameter_count,scheme_label,target_scheme
hidden_3,0.8629333333333334,0.4658333333333333,0.9536410551859862,0.5426929593086243,0.8490997552871704,4,0.9983227409036671,9,0.922,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
logits,0.8124666666666667,0.4469333333333333,0.9117548282960469,0.6481055617332458,0.8894228935241699,3,0.997862435811979,9,0.922,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
input,1.0,0.49069999999999997,1.0,0.5856068730354309,1.0,2,0.998835409970175,10,0.91,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_1,0.9443666666666668,0.4807333333333333,0.9845709874005376,0.5267950296401978,0.8679578304290771,3,0.9988433922655052,10,0.91,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_2,0.8996333333333335,0.4683333333333333,0.9637696951670189,0.5072225332260132,0.8744388818740845,3,0.9987831720329251,10,0.91,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
hidden_3,0.8708,0.4650666666666667,0.9131052250607253,0.528249204158783,0.8602374792098999,3,0.9983713936185101,10,0.91,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
logits,0.8258333333333333,0.4514333333333333,0.848627388155198,0.6270057559013367,0.9147560596466064,3,0.9981134247599114,10,0.91,"(64, 64, 32)",7488,intrinsic_arc,arc_bins
input,1.0,0.49533333333333335,0.9999999999999999,0.5950512290000916,0.9999999403953552,2,0.9989333737356624,1,0.8373333333333334,"(64, 64, 32)",7488,observed_y,y_bins
hidden_1,0.9016000000000001,0.5113,0.9544004811391422,0.6365074515342712,0.8775625824928284,3,0.9989046129703038,1,0.8373333333333334,"(64, 64, 32)",7488,observed_y,y_bins
hidden_2,0.4841666666666667,0.3598,0.7066633425056211,0.9601015448570251,0.9954366683959961,1,0.9982049857299614,1,0.8373333333333334,"(64, 64, 32)",7488,observed_y,y_bins
hidden_3,0.27326666666666666,0.1969666666666667,0.694689351557616,0.9075731635093689,0.9899836182594299,2,0.7084583775230708,1,0.8373333333333334,"(64, 64, 32)",7488,observed_y,y_bins
logits,0.242,0.172,0.6961540435640344,0.9265933036804199,0.9956491589546204,2,0.5722164958955271,1,0.8373333333333334,"(64, 64, 32)",7488,observed_y,y_bins
input,1.0,0.4968,1.0,0.5912150740623474,1.0,2,0.9987367619702427,2,0.8686666666666667,"(64, 64, 32)",7488,observed_y,y_bins
hidden_1,0.8713333333333333,0.5166999999999999,0.9295924069978723,0.6872597932815552,0.8963479995727539,3,0.9987076425867075,2,0.8686666666666667,"(64, 64, 32)",7488,observed_y,y_bins
hidden_2,0.4998666666666666,0.3735333333333334,0.6977088173022465,0.9417994022369385,0.9946776032447815,2,0.9981702329714662,2,0.8686666666666667,"(64, 64, 32)",7488,observed_y,y_bins
hidden_3,0.3114,0.23213333333333333,0.6715847471488132,0.8283156752586365,0.9754427075386047,2,0.9341969917760932,2,0.8686666666666667,"(64, 64, 32)",7488,observed_y,y_bins
logits,0.287,0.21203333333333335,0.6657635463006176,0.8130834102630615,0.9826606512069702,2,0.901759580352443,2,0.8686666666666667,"(64, 64, 32)",7488,observed_y,y_bins
input,1.0,0.4909666666666667,1.0,0.6153087019920349,1.0,2,0.9988824500129572,3,0.8613333333333333,"(64, 64, 32)",7488,observed_y,y_bins
hidden_1,0.8536,0.5087666666666667,0.9085902207211367,0.7181689739227295,0.9079173803329468,3,0.9988824811582455,3,0.8613333333333333,"(64, 64, 32)",7488,observed_y,y_bins
